submit_date,down_votes,up_votes,meaning,date,phrase
" February 08, 2006",190,80,A kiss after one of the participants has just brushed their teeth. ,Feb 9,Colgate Kiss
" October 13, 2003",421,1295,"A common driving position in which the driver holds the wheel with his left hand while leaning to his right toward the passenger seat, usually bobbing his head or bumpin' with the beat.  It's a pretty badass way to drive.  This move works best in a Chevy Caprice or any pimp-style car with a 3-person front seat.",Jan 26,gangsta lean
" February 13, 2006",124,450,"Defines the depth, closeness, and intimacy of a relationship. Friends with refrigerator rights can help themselves to anything in your refrigerator without asking permission.",Feb 15,refrigerator rights
" October 03, 2004",132,711,"A phrase that a guy says to a girl loudly in a public place to attempt to embarrass that girl. This is usually sarcastic and said to a complete stranger who wants to ask a guy something simple.The phrase originates from the movie ""Billy Madison"" when Adam Sandler's character makes an ass of himself while trying to fit in in high school...",Feb 14,no I won't make out with you
" February 05, 2006",165,367,"Attaining a position with noteworthy speed.Originates from Billboard Magazine's practice of putting a bullet sign in front of chart entries that have moved from one position to another with notable speed.",Feb 13,With A Bullet
" June 24, 2004",100,679,Refers to the vintage 1970-1980 Cadillac series. The rear windows had a diamond shape.,Feb 12,diamond in the back
" July 01, 2004",1167,3339,"1) somebody who works in or for the media who ensures that the public understands things from a certain perspective.    2) a radio station DJ, or MC at a club or event.",Feb 11,spin doctor
" February 03, 2006",223,895,"To look over the shoulder(s) of a person with whom you are currently engaged in conversation to see if you can find someone 'better' to talk to.Connotes a lack of interest in the current interlocutor and/or in what they are currently saying, and displays a desire to, if possible, upgrade to 'someone better' (e.g. of higher social status, better looks, etc.). ",Feb 10,shoulder surfing
" February 20, 2006",92,87,"Going into your garage to sit on your motorcycle, because it's still too ""out of season"" for use.",Mar 2,garage racing
" August 23, 2004",127,46,The phone number a person expects friends and family to use.,Feb 8,primary digits
" December 11, 2003",69,245,"In the drum and bass scene, the DJ's practice of replaying a record that has been enthusiastically received by the audience. Spectators ""call for a rewind"" by holding cigarette lighters in the air; if there is enough demand, the DJ will spin the record backward and play it from the beginning.",Feb 7,rewind
" January 31, 2006",1167,1916,When your head bobs around when you about to fall asleep when sitting upright.  It is given this name because it looks like you're driving offroad.  ,Feb 6,four-wheeling
" January 15, 2005",682,1686,The only show that makes me eager to watch the commercials.,Feb 5,super bowl
" December 06, 2005",70,356,N. A woman who must cope with the temporary death of her relationship during football games.,Feb 4,Football Widow
" October 02, 2003",442,2599,People unable to think for themselves. Followers. Lemmings. Those with no cognitive ablilities of their own.,Feb 3,Sheeple
" October 17, 2005",132,237,"1) An act of what appears to be generosity- such as lending an acquaintance a CD or movie, etc., or allowing them to choose what to do for fun- that is really more of a method of evaluating whether or not they're up to your cool standards.2) An inner struggle that involves the choice between what you believe is cool and what society tells you is cool; if you allow your sense of coolness to triumph over popular opinion, you have passed the awesomeness test.",Jan 25,awesomeness test
" January 23, 2006",101,212,to unexpectedly exceed the expectations of one's peers in a public setting,Jan 24,get your shine on
" January 10, 2006",61,102,a person with a newly-developed appreciation for a sports team; generally acquired after said team has won a championship or become otherwise popular.,Jan 23,fansplant
" January 14, 2006",357,278,"In football, it's the crowd.When the away team is backed up near the goal post, the 12th man makes a lot of noise, making it hard to communicate and for the lineman to hear the snap count.",Jan 22,12th man
" March 14, 2003",73,453,The fine art of bludgeoning an electronic device in order to encourage it to work properly. Vigorous usage of this technique often renders said device permanently nonfunctional.,Jan 21,Percussive Maintenance
" March 07, 2005",115,210,"To have something taken from you by smooth talking or strong convincing.  Not as violent or non-participatory as being High-jacked, being lowjacked involves ones own insecure or gullible nature.",Jan 20,lowjack
" January 15, 2006",94,617,Someone who joins the gym in January as part of a New Year's resolution and by February is back to being a couch potato.,Jan 19,January Joiner
" February 19, 2005",405,2075,"A girl who is exclusively after a free meal or an expensive gift.  She actively seeks out dates with well-off men who will wine and dine her at upscale restaurants.  She is usually physically attractive enough to make the man fall for her feminine wiles.  She will rarely have sex with these men, until they spend a certain number of dollars on her.  Nobody knows exactly what that number is, so the man keeps spending and spending, while the dinner whore keeps living it up.",Jan 12,dinner whore
" October 10, 2004",144,707,"The imaginary rescue vehicle that will rescue you from  someone's incessant whining over a trivial matter.  Used mockingly, but in good humor.",Mar 1,whambulance
" January 25, 2006",288,57,Obsession and erotic enjoyment derived from the mere thinking of Apple(tm) Nano Ipod or its accessories ,Feb 28,Nanogasm
" December 29, 2004",128,262,"The process of getting ready for a fight, stemming from the process of lacing up boxing gloves, or to beat or knock some one out in a fight.",Feb 27,laced up
" February 04, 2006",65,301,Credit Whore (CW) is someone that does something nice just so they can bring it to everyone's attention and get credit for it.,Feb 26,Credit Whore
" February 23, 2006",45,217,A mathematical term used to describe how extreme a mullet hairstyle is.  It is found by comparing how long the hair on top of the head is compared to how long the hair hangs at the back of the neck.  ,Feb 25,mullet ratio
" January 17, 2006",77,187,"Noun: an email assault so vicious in tone the recipient loses an eye to you.Verb: to textually assault an individual via the internet.",Feb 24,emaul
" October 06, 2004",96,65,Food poisoning acquired from eating contaminated fake meat.,Feb 2,soymanella
" January 03, 2006",1559,923,"A way of determining who has to do a task, such as close a door or turn off a light after everyone is seated.  To call 'nose goes', you simply place your index finger on your nose, and say ""nose goes"".  The last person to call 'nose goes' has to do the task.",Jan 5,nose goes
" December 25, 2005",162,638,"Fragment often used by girls to thwart further activity; please stop; that ain't right, don't do that, because I don't like it.Can be found as: Can you not?!, Can you not..., Can you.. not?",Jan 18,can you not
" January 15, 2006",135,377,"The old fashioned journal you wrote in with crushed tree pulp, binding, and maybe some kind of lock mechanism. For some reason people used to like writing opinions only they read. It is a fad past its prime but Borders still sells them for some reason. ",Jan 17,anablog
" January 07, 2006",199,67,For the ass is a phrase that means that something is completly useless.,Jan 16,for the ass
" January 13, 2006",72,206,"A highly expensive car or motorcycle, that's been left to sit in the driveway, unused. Much like a flashy diamond ring or gold necklace, it's sole purpose is that of demonstrating wealth, to those who see it. ",Jan 15,driveway jewelery
" January 04, 2006",131,535,"Head Motha Fucka In Charge. The boss; someone not to be reckoned with. Used to denote, usually in jest, that a person is in charge of a situation.",Jan 14,hmfic
" July 05, 2004",71,662,"Imaginary mode of transport,associated with heavy drinking,when drinker has no recollection of how they arrived back at their preferred destination.",Jan 13,beer taxi
" July 14, 2005",81,205,"In an email, IM, IRC, SMS, or MUD exchange, temporarily unable to write, as through astonishment.Compare to speechless in spoken language.",Jan 11,textless
" December 31, 2005",136,82,"To wear clothing, accessories, or physical features (i.e. pale skin) with confidence. ",Jan 10,own
" December 13, 2005",118,346,"The natural effect of the slow growth and spread of a clerical worker's physical frame, across the span of years of combining vending machine snack food with an exercise regimen that consists of little more than typing, until said physical frame is confined by the spatial limitations of the worker's desk chair.  Commonly applies to programmers, secretaries, and middle management.  In extreme cases, can be accompanied by a non-insignificant amount of physical exertion to free the compressed rear end from the chair.",Jan 9,Chair Ass
" October 28, 2003",347,155,To become extremely angry and vow consequences upon those who have caused you nuisance. ,Jan 8,Get Buck
" November 09, 2003",155,267,You've been had; you've been tricked.,Jan 7,you got got
" January 03, 2006",99,237,"When a gossip columnist doesn't have enough evidence to support a claim about a celebrity, where naming said celebrity  would result in a lawsuit, giving no names but mild clues to the celebrity's identity in the latest gossip.",Jan 6,blind item
" February 24, 2003",349,1074,"The rule you use to get out of the ""bros befo hoes"" rule.  Only to be used when there is a &gt;80% chance of you getting laid.  ",Feb 1,self-first
" January 30, 2006",307,546,A person who will only wear clothing that is hideously expensive and bears the 'right' tag or label in the belief that she (it is mostly she) is a better person for doing so.  Often tag hags are also fag hags for some reason.,Jan 31,tag hag
" August 12, 2003",206,660,"U.S. Military Slang. Referring to, or meaning anything and everything except ""no."" Generally used when at a loss for words. Also:Good copy, solid copy, roger, good or great; message received, understood. Glad to meet you, welcome. I do not know, but will check on it, I haven't the vaguest idea. I am not listening. That is enough of your drivel--sit down. Stop sniveling. You've got to be kidding. Yes. Thank you. Go to the next slide. You have taken the correct action. I don't know what that means, but am too embarrassed to ask for clarification. That is really neat, I want one too. Amen. ",Jan 30,Hooah
" November 20, 2002",322,2278,The point at which you first piss after you have been drinking your favorite alcoholic beverage and at this point you will be pissing every ten minutes,Jan 29,break the seal
" January 19, 2006",206,354,(n) To use mouthwash instead of brushing one's teeth before going out for lack of time or total laziness.,Jan 28,dental denial
" December 12, 2005",129,297,"A celebratory dance performed (usually at work) on Fridays to commemorate the end of the grueling work week.  The dance is performed using no particular pattern or style, but often incorporates variations of ""The Robot"" while vocally producing Rock or Heavy Metal type sounds.",Jan 27,Fridance
" October 18, 2004",147,61,"feeling dumb or stupid after something happens.see also crunchy.",Jan 4,salty
" March 27, 2005",134,1049,"A tool used among friends to retain possession of a certain seat. As the name suggest, fives only works for five minutes. After standing up from his chair, the person announces ""fives"", and then can freely do what he needed to, and when he returns no one is allowed to take his seat during his absence.Powerful foe of, ""you move your feet, you loose your seat.""",Jan 3,fives
" February 19, 2004",370,1766,The act of shopping as an outlet for frustration and a reliever of stress.,Jan 2,Retail Therapy
" November 20, 2005",77,244,n. The ability to stay with a project and see it through to completion.,Jan 1,sticktoitiveness
" December 23, 2003",196,356,Being so wasted that you have no recollection of a long period of time.,Dec 31,time traveling
" December 16, 2003",196,357,"Similar to owned and pwned. To prevail heavily over an opponent in some form of competetive sense, such as a verbal argument or physical confrontation; mostly used in a one word sentence fragment.",Dec 30,sonned
" May 08, 2004",1645,991,"the morning after hippies or member of the 60's counter culture have made tie dyed t shirts, candles, or prayer flags",Dec 15,hippie christmas
" December 19, 2005",182,63,"When something is just too ridiculous, it's ridic. Also see ridonkulous and ricockulous.",Dec 29,ridic
" November 02, 2005",41,186,"(n) A nightmare that is derived directly from your place of employment, including your job, co-workers, duties and/or responsibilities while on the job. ",Dec 14,workmare
" December 01, 2005",33,251,"A dead drop is a location used to secretly pass items between two people, without requiring them to meet.Spies have been known to use dead drops, using various techniques to hide the items and to signal that the drop has been made. Drug dealers use this as well.A common place is to duct tape the item to the underside of a toilet cover in a public restroom.A signal is sometimes used as well to indicate there is something to pickup, like a pile of stones in a certain formation. After checking the drop the signal is removed.",Dec 13,dead drop
" December 03, 2005",632,2599,"Droplifting is the opposite of shoplifting; it involves leaving a product or item in a shop, rather than taking one.  It has been used by artists and musicians to promote their work for free, whilst some people use droplifting to make political or economic statements. (for example by altering shop's products and then returning them)",Dec 12,droplifting
" December 28, 2003",45,123,An awkward moment of silence when no one has anything to say which occurs after seven minutes of conversation.,Dec 10,seven minute silence
" November 22, 2005",160,1333,"The act of making an unusual face while playing the guitar.  The look typically resembles a look of pain, intense ecstacy, or sometimes even plain old gas.",Dec 9,guitar face
" November 28, 2005",177,43,A contraction of mad awkward.  Can be used as an interjection in situations that are very awkward,Dec 8,madawk
" March 25, 2003",399,1837,"Something that spoils or ruins an otherwise enjoyable event, esp. when in relation to ruining a drunken or drug-induced high.",Dec 28,buzzkill
" November 18, 2005",97,138,"As a verb, it is used to describe a future action in which one exceeds the normal outcome.  For example: If you are about to  eat more food than average, you might say ""I am going to get big in the kitchen.""  Can be used in a variety of ways: in reference to eating, fighting, taking a test, anything. ",Dec 27,get big
" October 30, 2005",51,74,"Someone who yearns for the the way things were ""Back In The Good Old Days"" and automatically assumes that way on which they imprinted was the-way-it-should-be. Bitgods are not always incorrect in that belief -- but they are autonomic about it and haven't thought it through. The word is the acronym for ""Back In The Good Old Days"".",Dec 26,Bitgod
" December 24, 2005",66,210,The aftermath of the Christmas celebrations.,Dec 25,Christmess
" August 30, 2003",201,3255,"Santa's cry, or three prostitutes.",Dec 24,ho ho ho
" December 04, 2005",55,199,a shopper at a supermarket/ store that checks out at the express line when they clearly have more items than the maximum. this makes everyone behind them wait.,Dec 23,expresshole
" December 05, 2004",1205,4353,"ADHD stands for attention deficit somethingk.  Hey! I spelled something wrong.  Haha.  Hey look a squirrel.  Wait, what am I doing here again?  Omigawd my elbow itches.  Wonder what's on tv?  I like Jennifer Lopez.  I hate kumquats.  I really love urbandictionar.....where was I again?",Nov 30,adhd
" December 06, 2005",148,310,A tool or technique that makes some aspect of one's life easier or more efficient.,Dec 22,lifehack
" March 16, 2005",280,757,A way to quit smoking.  Just by simply not smoking and not using any products to help you with the process.  Usually is extremely painful and freaking annoying as hell.,Nov 23,Cold Turkey
" April 30, 2004",322,271,Where one pulls out their collar so that it faces upwards instead of folded inward; a sign that they are a str8 up pimp,Nov 16,pop the collar
" November 22, 2005",57,340,"When you hang up the phone without indication.  Typical people will give some indication the conversation is over, ""see you later,"" good bye,"" ""talk to you soon,"" etc.  But as Hollywood movies have taught us, this is not necessary.  When you are finished with what you have to say, hang up.",Dec 7,hollywood hangup
" February 09, 2004",226,821,"One who always ditches, or ""flakes,"" hence the name dandruff; usually for an insufficient reason, getting the hopes up of friends and family and ditching them for materialistic sluts.",Nov 29,Dandruff
" November 03, 2005",198,109,"What Adam Carolla says at the end of his show ""Too Late with Adam Corolla"" to sound cool. It means thank you in hawaiian.",Nov 28,mahalo
" November 18, 2005",83,86,The feeling of exhaustion one feels after Thanksgiving dinner - due to the large amounts of tryptophan ingested through overeating.,Nov 27,tryptophan coma
" December 07, 2004",92,58,Stuffed from eating after a big meal.,Nov 26,fat as a tick
" November 22, 2005",381,872,The day after Thanksgiving in the U.S. It's traditionally the busiest shopping day of the year (and sometimes considered to be the beginning of the Christmas season). A.K.A.: Green Friday,Nov 25,black friday
" October 03, 2004",87,519,"This happens when a dating couple try the long-distance relationship thing when they go off to university or college in September. Typically, when Thanksgiving rolls around and everyone goes home for the holiday, someone gets dumped. Hence the turkey drop.",Nov 24,turkey drop
" December 04, 2004",105,48,"in a restaurant, to go or ala carte",Dec 21,with legs
" July 12, 2003",1031,3499,No Strings Attached,Dec 20,NSA
" June 28, 2005",204,1254,Eavesdropping on a conversation that you have no business hearing.,Dec 19,earjacking
" December 05, 2005",49,216,"When an elder member of the human race doesn't feel the need to wait in line. (usually a buffet of some type)  Either because their time is running out, or they have given up on any social grace.",Dec 18,eldercut
" December 06, 2005",88,779,Drinking alcohol so as to have some excuse at a later date for the actions you might get into.,Dec 17,safety buzz
" August 15, 2004",147,551,"As an art movement, lifestyle, or literature and film genre, kitsch is pleasingly distasteful. It's melodramatic, overdone, gaudy and tacky or sentimental and folksy. It's so bad that it's cool. Your cat might attack it, but it's hot.And, no, Martha Stewart and Jerry Springer are NOT bad enough to be kitsch. At all. Paris and Nicole though...",Dec 16,kitsch
" October 18, 2005",115,361,"n. Neo-geek terminology for visiting the bathroom, especially when interrupting a meeting/gathering/workflow.v. performing bodily functions",Nov 22,bio break
" October 22, 2004",300,573,"To have ""game"" is to attract people of the opposite sex.  Game recognize game is when a person who has game, can see it in another, like a playa knows another player when he sees one.",Nov 21,Game Recognize Game
" November 06, 2005",91,411,"The internationally-recognised time to start any homework that has been assigned for one's weekend.  This includes (but is not limited to) math problems, lines, essays, papers, presentations, studying for exams, and take-home tests.Larger projects are usually assigned over a weekend because of the ""extra time"" it gives students.  This is amusing because students do not utilise this extra time, instead choosing to begin work on at the very end of the weekend.In some cases, Sunday afternoon is better stated as Sunday evening.  See also the eleventh hour.",Nov 20,Sunday afternoon
" November 08, 2005",24,152,"To use the thesaurus for every second word in order to make yourself sound smarter or to take up space and make an essay longer.Teachers see past it very quickly if you are a dumbfuck and can't tell him what half the words in your essay mean, when questioned.",Nov 19,Thesaurused
" July 30, 2005",125,169,"1) An elf from the Harry Potter series that has to obey its master and do whatever is asked of it. It can only become free if master presents it with clothes. (Some house elves work in the Hogwarts school kitchens.)2) Someone who listens to everything that his parents tell him to do, even bogus things like ironing a bunch of clothes, vaccuming a car he doesn't drive, fixing vegetables, etc. Some house elves have cell phones that go off at random times, always from the parent asking him to do a task, and because of his house elf nature he is forced to obey.",Nov 18,House Elf
" November 16, 2005",163,444,"Similar to daydreaming, zoning out usually involves obscure subject matter such as how toothpicks are made or what will happen when squirrels take over the world. Common among, but not imited to, those with ADD or ADHD.",Nov 17,zoned out
" November 03, 2005",60,142,A very large number or amount of.  A close synonym of grip of.,Nov 15,gang of
" November 30, 2003",175,57,"All engineers, especially ones that hang out and look at computer dating services all day. A person who uses scientific knowledge to solve practical problems.",Nov 14,enginerd
" November 10, 2005",40,115,"Using a blog to broadcast something slanderous, disrespectful, scandalous or embarrassing about someone.  ",Nov 13,blogsmack
" November 06, 2005",279,989,"Military slang for Ensign or Second Lieutenant, who wear a Golden Bar as their rank insignia.",Nov 11,Butter Bar
" November 04, 2005",75,172,"A common phrase in response to anything that needs doing or has been done.  Often used even when the task is not ""too easy"".  It becomes contagious.",Nov 10,too easy
" October 29, 2005",218,446,"A term coined in the 70's by writer and former school-teacher John Holt. Used to describe the practice of an individual who does not attend school- instead choosing to travel, write, play, run, build things, volunteer, and learn about the world free of grades, subjects, periods and ""school hours"".",Nov 9,unschooling
" October 09, 2002",384,3034,"An exclamation that, when uttered in conjunction with taking an object, immediately transfers ownership from the original owner to the person using the word regardless of previous property rights. ",Dec 6,Yoink
" December 03, 2003",2941,6785,"1. Too eager to get something (especially play)2. Desperate",Dec 5,Thirsty
" November 23, 2005",203,129,Another name for a US Twenty Dollar Bill; US cash demonination featuring President Andrew Jackson - equivalent to twenty Franklins or four Lincolns.,Dec 4,Jackson
" November 21, 2005",71,135,"Jukebox sabotage is a form of implanting one's own music into another person's mind by singing or whistling a tune around that person. If successful, that person will then begin whistling or singing your song minutes later.",Dec 3,Jukebox Sabotage
" November 28, 2005",140,126,"Slang for the phrase, ""Did you eat yet?"" Native to Philadelphia and its suburbs.",Dec 2,djeetyet
" November 15, 2005",60,479,"The state of anticipating or expecting sexual intercourse from a social encounter, be it a date, a party, or a booty call. It describes a period of optimistic waiting that is just shy of a sure thing.",Dec 1,sexpectation
" November 02, 2005",1668,2500,"A slight hand gesture used to wave for prolonged periods of time (like during a parade)or as a casual non-verbal greeting to friends.  With the arm bent at the elbow, the waver turns their wrist back and forth exposing the front and then the back of the hand in a single motion. ",Nov 8,parade wave
" April 13, 2004",72,292,A significant or notable event.,Nov 1,for the books
" November 01, 2005",95,80,"Adjective describing someone who is in a very lazy mood. Does not want to get up from the couch, or does not want to disturb what they are doing.Also, lack of excitement which can lead to a buddahlike state of bliss.",Nov 7,fat on the couch
" November 01, 2005",110,82,A slang word for paranoia.,Nov 6,noids
" October 23, 2005",1415,4867,"A term, especially in art, used to characterize something that is characteristically self-referential.",Nov 5,meta
" November 01, 2005",93,240,When someone is really mad at you so they yell your first and middle name.(v),Nov 4,middle-named
" October 29, 2005",138,324,One who types really loudly and obnoxiously and seems as if they are beating the keyboard. One who slams their fingers on to each key that you could hear them type from two doors down.,Nov 3,Keyboard Attacker
" November 14, 2003",134,41,"abstract noun. Anything that is considered good, or beneficial, to the subject. Anything that is currently hip, chic, or in fashion at the time.",Nov 2,Jump Off
" May 20, 2004",2577,3609,"New England slang that adds emphasis. Synonymous with really, very and hella.To describe how great something is: ""This car is wicked cool!""To show aggravation: ""This fucking guy is a wicked asshole!""To show frustration: ""That guy is wicked slow!""To show amazement: ""Wow, that game is wicked awesome!""To describe a person: ""She's a wicked bitch!""To describe the weather: ""Man, it's wicked hot out here!""To emphasize feelings: ""That story made me wicked sad!""To exaggerate your point: ""That took a wicked long time!""",Oct 31,Wicked
" October 21, 2005",61,114,When you do something that you can't take back or reverse(i.e. as in you can't un-ring that bell).,Oct 30,rung bell
" October 18, 2005",88,335,to use technology for the sole purpose of avoiding (human) contact,Oct 28,evoid
" October 24, 2005",83,178,"1. To be making money, generally a lot of it. 2. To be on the clock at work.3. Working in generalwords are commonly placed in between stackin' and loot. the words are reversable as well. for example.stackin' mad lootstackin' crazy lootstackin' some lootstackin' that lootloot stackin'",Oct 27,Stackin' Loot
" August 03, 2004",169,87,Listening to or observing a mixed set of tracks. DJs and clubbers who tend to observe and analyze the method and sound of the DJ are known as trainspotters.,Oct 26,trainspotting
" October 15, 2005",155,119,To drive 55 miles per hour.,Oct 17,double nickel
" October 18, 2005",102,237,"In reference to the novel character who relentlessly pursued the white whale, which is a metaphor for the unattainable or for what the searcher believes to be perfect. So playing ahab is searching for a specific elusive something among a vast group of the like.",Oct 25,play ahab
" October 19, 2005",146,82,Somone who is always on a certain persons side. Always agrees with specified person. Laughs at stupid jokes person says just so they won't get made fun of by person.,Oct 24,co-signer
" October 05, 2005",79,192,"slang for ""not coming back""",Oct 15,ncb
" August 17, 2004",277,69,slang used by inner city teenagers to describe missing the bus,Oct 14,bus left
" May 26, 2004",296,207,"acronym: Good Sounding Bad Idea. An idea that sounds exciting or plausable, but upon further thought or execution is revealed to be astoundingly dumb and/or dangerous.",Oct 13,GSBI
" October 05, 2005",229,489,"An unusually strong fear of Iraq, especially its ability to manufacture and use biological, chemical, and nuclear weapons.  (A play on arachnophobia, an unusually strong fear of spiders.)",Oct 12,Iraqnophobia
" October 06, 2005",72,177,"1. Feeling like you have been extremely busy and you have no time for anything fun any more but never accomplishing anything. 2. A person who says that they cant do anything with you because they are busy but they dont actually have anything to do.",Oct 9,artificially busy
" October 15, 2005",253,427,Of or pertaining to geniune truth. That which is true on the basest level.,Oct 23,flat ass
" September 09, 2005",370,60,A person who spends too much time on the Internet or the computer in general.,Oct 22,rasterbator
" October 16, 2005",1187,2130,"A dog that lays on its back with all four legs in the air--like a dead cockroach--is commonly described as ""roaching.""",Oct 21,roaching
" October 14, 2005",114,198,"New Jersey slang for doing something well.  Similar to ""the best.""",Oct 20,so hard
" October 17, 2005",142,1033,"The nod of acknowledgement is a standard among guys as a way to let the person know that you see them, without having to resort to using words. Girls will generally not accept the nod of acknowledgement and opt for a wave of the hand and/or a smile, perhaps even accompanied by words. The nod of acknowledgement is a wordless conversation.The only acceptable response to a nod of acknowledgement is another nod. If you speak, you have broken the point of such a gesture.",Oct 19,nod of acknowledgement
" October 06, 2005",81,342,"A break up that eventually leads to the couple making back up. Hence, it is not a real break up, but a ""fake-up.""",Oct 11,Fake-up
" October 04, 2005",233,673,"A complete and total screw-up.  From President George W. Bush's infamous comment to FEMA chief Michael D. Brown while the latter was botching the federal response to Hurricane Katrina: ""Brownie, you're doing a heck of a job.""",Oct 10,heck of a job
" October 04, 2005",78,236,"n. Advertisements posted on telephone poles, traffic lights, and other public areas.",Oct 8,street spam
" October 04, 2005",80,52,When you get sick from looking at a computer monitor.,Oct 7,monitor malaise
" October 04, 2005",74,224,"A Conversational Puma is a loud and opportunistic member of a conversation. The ""puma"" part comes from the person's tendency to ""pounce"" on you when you are trying to tell a story with loud interjections like ""NO WAY"" or ""I KNOW"". Though its debateable whether the conversational puma is truely interested in what you are saying or if he/she is just patronizing you, the story usually ends up being truncated for no other reason than to avoid being loudly interrupted.This word was recently pioneered on the radio program Loveline by Adam Carolla.",Oct 6,conversational puma
" October 03, 2005",75,41,"Used to illustrate a former time of life when badly poor.  Weighing Grams refers to low level cocaine dealers who sell low quantities, thus, being 'poor'. ",Oct 5,Weighed Grams
" August 13, 2005",31,88,"An interesting idea, story, or link. Referred to as blog fodder when your first reaction is to use it in your blog.",Oct 4,blog fodder
" June 06, 2003",256,798,"A quiet flatulent that makes its presence known by a foul odor; ""silent but deadly""",Oct 3,SBD
" September 09, 2005",123,233,"A psychological condition which causes paranoia centered around persons with increased sexual desire. See also hornophobic, hornophobe",Sep 25,hornophobia
" November 20, 2002",506,3240,"A parting phrase, in good manner",Sep 11,Peace
" October 16, 2005",346,555,"Verb. To drink. Derived originally from tailgating before a sporting event such as a football game, it later became known as drinking before any gathering. It now refers simply to drinking, because any activity afterward is acceptable to drink for.",Oct 18,pregame
" December 02, 2003",460,1774,"3 meanings:1. a cool person2. to signify agreement3. to signify something is good",Sep 24,safe
" August 25, 2005",99,90,to interrogate needlessly under the pretext of defending against terror,Sep 23,interrorgate
" August 09, 2004",336,484,"(n.) in rap, one verse or ""sixteen"" lines",Sep 22,16
" May 03, 2005",71,243,The unwelcomed and unsolicited advice given to someone.,Sep 21,assvice
" September 19, 2003",178,159,a BMW 745,Sep 20,quarter to eight
" June 13, 2004",272,133,unimportant; trivial.  how the events that happened on 9/10/01 compared to the events that happened on 9/11/01.,Sep 10,september 10th
" April 21, 2004",130,559,to mark the end of a conversation and your departure. opposite of word up,Sep 9,word out
" August 12, 2005",140,507,when you have alot of stuff to fit in a little space like packing a suitcase or filling a trunk of a car with bags.,Sep 8,tetris it
" September 04, 2003",294,1542,"the coolest, freest, and yet deepest music humans have ever made",Sep 7,jazz
" January 26, 2004",410,832,A wish or desire accompanied by confident expectation of its fulfillment.,Sep 6,Hope
" May 05, 2004",466,1680,"(1) slang: to disrespect someone (to diss); to make fun of someone; used by a third party after a first party makes fun of a second party. Brought back to life by the ever-popular That 70's Show.(2) slang: to smoke marijuana or any other drug used with fire, to get high. see burn out(3) verb: to char or scorch something using fire",Sep 5,burn
" July 19, 2005",85,299,"The type of large, non-flat, see-through plastic lid used to cover Slurpees and various iced coffee drinks that allows for wide spill-over of whipped cream and other edible, non-liquid material.",Aug 14,biodome
" September 30, 2005",528,112,"Function: noun1. Describes the sound made by a trombone to illustrate a depressing statement, action, or moment. ""Wah waah"". Pioneered on the SNL skit Debbie Downer.",Oct 2,sad trombone
" August 07, 2005",110,354,1. Someone who is using thier neighbor's/hotel across the road's wi-fi internet.,Sep 4,internet hobo
" August 21, 2004",166,357,"a rim and tire making company. mainly known in the south for the white wall tire with the a yellow stripe. also referred as ""ridin on mustard and moyonaise""",Sep 18,vogues
" August 29, 2005",41,273,"A car that passes you on the freeway driving much faster than you (and the speed limit).  By pacing this car at a distance, speed traps along your route will catch the other driver instead of you.",Sep 19,cop cleaner
" July 29, 2005",60,29,"Cubular describes anything which is ""cool"" in a ""business-geek"" office-context.  Often used ironically.  This is a term derived from ""cubicle"" and the surf-slang ""tubular.""",Aug 28,Cubular
" July 11, 2005",65,224,adj. - That person who flashes you with their brights even though your brights arent on.,Aug 7,flashole
" July 19, 2005",203,157,"1. (verb) to make smalltalk with someone with the single intention of softening them up for a later seduction attempt. To put in some ""ground work"".2. (noun) the metaphorical implement with which one carries out a spading operation",Aug 13,spade
" July 18, 2005",100,266,When more people than there are seatbelts are shoved into a car. When people have to sit on the floor or on each other.,Aug 12,To clown car it
" January 09, 2003",150,129,Singular or plural reference to cigarettes.,Aug 11,snout
" July 17, 2005",111,204,"Derived from highway, it means a path in a crowd where many people pass through, e.g. on parties. One should use crowdways to go from point A to point B to annoy the least possible amount of people.",Aug 10,crowdway
" July 15, 2005",92,30,Slang for someone who is very rich (has a lot of money) or someone who has a lot of possessions,Aug 9,filthy
" July 11, 2005",86,576,Parking up close to the venue being visited.,Aug 8,Rock Star parking
" September 30, 2005",57,53,to put your fists up to fight ,Oct 1,shoot the five
" September 27, 2005",47,158,A person or persons overly concerned with safety in every situation. ,Sep 30,safety police
" March 03, 2003",173,338,"K-rad literally means 1000 times rad, just as a kbyte or kilobyte refers to around 1000 bytes.K-rad was made popular in the 1980s by computer hacker circles. The word 'rad' reffered to a radical act performed by a hacker which deserved congratulations.The term k-rad originated around the same time people started talking in numbers l1k3 th15. This type of language first started apearing on BBSes and FTP warez sites.",Sep 29,k-rad
" March 06, 2005",310,665,The only suffix to your name that you can have that succeeds PhD.,Sep 28,@gmail.com
" June 28, 2005",43,211,"one whose major knowledge base appears to have been garnered from Wikipedia and its related projectsderived from googlectual",Jul 31,wikillectual
" March 05, 2004",355,1537,"Australian/Kiwi slang, for a female.",Sep 3,sheila
" August 05, 2005",144,268,Three days off in a row.,Sep 2,72
