category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol,vintage
Red,Israel,Carmel 2011 Mediterranean Red (Galilee),Red Blend,60,750 ml,90,Carmel,"This red blend features a nose of raspberry, fennel bulb, oregano and lavender. Mouth-pleasing flavors of ripe cherry, anise, orange zest and anise are wrapped in smooth tannins. It is full in the mouth, offering a lingering finish punctuated by a burst of pomegranate.",14%,2011
Red,Portugal,Casa Agricola Alexandre Relvas 2015 Art. Terra Organic Red (Alentejano),Portuguese Red,23,750 ml,90,Casa Agricola Alexandre Relvas,"Equal parts Syrah and Touriga Nacional, this wine brings together two structured and perfumed varieties. The grapes are organically grown on clay and schist soil, resulting in heavy tannins and needing plenty of time to bring out the rich, dark fruit. Drink from 2020.",14.50%,2015
Red,France,Chteau Blingard 2014 Rserve Red (Ctes de Bergerac),Bordeaux-style Red Blend,12,750 ml,90,Chteau Blingard,"Dominated by Merlot, this is a fruity wine with finely integrated tannins. It has the red fruits and acidity of the vintage given weight by 13 months of wood aging and the concentration of old vines. Drink from 2019.",13.50%,2014
Red,France,Chteau Clment Termes 2014 Mmoire Red (Gaillac),Red Blend,30,750 ml,90,Chteau Clment Termes,"The top wine from this estate is a blend of Syrah and Braucol. It is still firm and tannic, rich with perfumed black fruits. Made from the property's oldest vines and wood aged, it has hints of licorice as well as a toasty edge. The wine needs to be aged, so drink from 2020.",12.50%,2014
Red,US,Cielo 2012 Malibu Estate Cabernet Sauvignon (Saddle Rock-Malibu),Cabernet Sauvignon,100,750 ml,90,Cielo,"Dark chocolate, smoke and asphalt aromas show on the nose of this bottling from a rocky vineyard near Mulholland Drive. The palate opens with thick, chalky structure and strong acidity, slowly revealing bright blackberry and milk chocolate flavors.",15.99%,2012
Red,US,Cuda Ridge Wines 2014 Cabernet Franc (Livermore Valley),Cabernet Franc,36,750 ml,90,Cuda Ridge Wines,"Although full-bodied and rich in texture, this wine is restrained in terms of ripeness and oak. It has good balance, a quiet blend of black cherry, clove and dark chocolate flavors and a firm, fine-grained tannins. Best after 2019.",14.30%,2014
Red,France,Domaine Guy & Yan Dufouleur 2013 Clos du Chapitre Monopole Premier Cru (Fixin),Pinot Noir,57,750 ml,90,Domaine Guy & Yan Dufouleur,"Old vines in a walled vineyard are responsible for this ripely structured wine. It has dense tannins and equally concentrated black fruit and acidity, needing more time to develop and yield its full fruitiness. Drink from 2018.",13.50%,2013
Red,France,Domaine Laleure-Piot 2015 Clos de Bully (Pernand-Vergelesses),Pinot Noir,30,750 ml,90,Domaine Laleure-Piot,"This estate, now owned by the negociant Champy, specializes in the vineyards around Pernand-Vergelesses. This single parcel wine is ripe and jammy, benefiting from the richness of the year. Soft tannins and red strawberry fruit dominate and will remain the main theme as the wine matures. Drink from 2018.",13%,2015
Red,Portugal,Dona Maria-Jlio Bastos 2013 Red (Alentejano),Portuguese Red,18,750 ml,90,Dona Maria-Jlio Bastos,"Fermented in open stone lagares, this wine has a typical rounded, generous character, with rich dark fruit and tight acidity. Although smooth from wood aging, it has a taut edge, ultimately feeling ripe and full in the mouth. Drink now.",14%,2013
Red,Italy,Donatella Cinelli Colombini 2012 Brunello di Montalcino,Sangiovese,69,750 ml,90,Donatella Cinelli Colombini,"Fragrant blue flower, spiced plum, new leather and Mediterranean herb aromas meld together. The elegant almost ethereal palate offers succulent red cherry, crushed raspberry, star anise and a hint of nutmeg framed in supple polished tannins. Drink through 2022.",14%,2012
Red,US,Dracaena 2014 Cabernet Franc (Paso Robles),Cabernet Franc,32,750 ml,90,Dracaena,"This winery was named after the Dragon's Blood tree, and the label for this bottling features the owners' late Weimaraner, Draco. The wine itself shows dark red fruit and cinnamon on the nose, with savory touches of white pepper, thyme and oregano. The palate's tangy cranberry fruit is paired with herbal notes, leather and tobacco.",14.30%,2014
Red,US,Dunham 2013 Trutina Red (Columbia Valley (WA)),Red Blend,29,750 ml,90,Dunham,"Cabernet Sauvignon and Merlot make up the majority of this blend (42% each), with Malbec, Petit Verdot and Syrah rounding it out. Aromas of toast, vanilla, cocoa, cherry and herb lead to sweet, elegant chocolate and cherry flavors, threaded with vanilla notes.",13.80%,2013
White,US,Eternal 2014 Patience Roussanne (Walla Walla Valley (WA)),Roussanne,40,750 ml,90,Eternal,"Walla Walla Valley-designated white wines are a rarity. This one brings aromas of apple skin and pear, showing a very clean profile that leads to dry creamy-feeling fruit flavors. It's capped off by a warm finish, speckled with barrel accents. Overall, it provides a lot of intrigue.",14.50%,2014
White,US,Falkner 2015 Chardonnay (Temecula Valley),Chardonnay,25,750 ml,90,Falkner,"This is proof that excellent Chardonnay can come from this warm region in Southern California. Key lime pie, peach blossom and shaved apple aromas show on the nose. The palate sizzles with acidity and a savory hit of sea salt, with a core of Asian pear and stone fruit flavors.",14.50%,2015
White,US,Ferrari-Carano 2015 Fum Blanc (Sonoma County),Fum Blanc,14,750 ml,90,Ferrari-Carano,"With searing, upfront acidity, this wine takes on a briny character that accents the high-toned lemon zest and melon notes on the palate. Aged only in old French oak and stainless steel, its fruit remains fresh and unencumbered through the finish.",13.80%,2015
White,US,Fleur 2014 Chardonnay (Carneros),Chardonnay,19,750 ml,90,Fleur,"This wine has a high-toned richness that presents as clean and linear. Briny olive notes define the opening aroma, while more developed pear, apple and peach flavors fill out the palate.",13.80%,2014
Red,France,Georges Vigouroux 2012 Chteau de Haute-Serre Malbec (Cahors),Malbec,24,750 ml,90,Georges Vigouroux,"Mint and smoky aromas give this wine an attractive, juicy character. It is developing well and almost ready to drink. From Cahor's high altitude vineyards, the wine is bright and fruity with damson flavors and smoothed with wood aging. Drink from 2018.",13.50%,2012
Red,France,Halos de Jupiter 2014 Red (Costires de Nmes),Rhne-style Red Blend,16,750 ml,90,Halos de Jupiter,"Somewhat unusual for the appellation, this wine doesn't include any Syrah; the blend is 80% Grenache and 20% Carignan. This medium- to full-bodied wine offers hints of Mexican chocolate, ripe black cherries and dried herbs backed by a smooth, silky, long finish. Drink now2022.",14.50%,2014
Red,US,Kale 2014 Heritage McGah Vineyard Red (Rutherford),Rhne-style Red Blend,60,750 ml,90,Kale,"This blend of 87% Grenache, 8% Mourvdre and 5% Syrah is big, bold and robustly flavored, showing its youth. Juicy cherry and licorice flavors are edged in smoke and tannin. The cinnamon-laced finish is soft and long.",15.50%,2014
White,Germany,Kirsten 2015 Wolkentanz Riesling (Mosel),Riesling,19,750 ml,90,Kirsten,"Whiffs of white flower and tangerine peel perfume this brisk, slightly peppery Riesling. It's just a shade off-dry, with barely perceivable sweetness amidst a rush of white grapefruit and lime flavors. The finish is dry and deeply refreshing.",11.30%,2015
Red,France,Lionel Osmin & Cie 2014 Donibane Tannat-Cabernet Franc (Irroulguy),Tannat-Cabernet Franc,30,750 ml,90,Lionel Osmin & Cie,"This is a blend of Cabernet Franc and Tannatboth native grapes of the French southwest. Dark in color, it also has a fine perfumed character from the Cabernet in the blend. Ripe blackberries are given weight by the dense tannins and then lifted by the acidity. It is still a young wine with a good future, so drink from 2018.",13%,2014
Dessert,France,Lionel Osmin & Cie 2015 Pacherenc du Vic Bilh,Gros and Petit Manseng,16,500 ml,90,Lionel Osmin & Cie,"The sweet wines from the southwest of the Gers region, made in small quantities, bring together two of the greatest grapes of the French southwest. The wine is in fact semisweet, with a dry undertone as well as acidity. It has hints of botrytis as well as orange marmalade, with a tangy aftertaste. Drink from 2019.",12.50%,2015
Red,France,Louis Jadot 2014 Marsannay,Pinot Noir,39,750 ml,90,Louis Jadot,"This wine from the most northerly of the Cte d'Or appellations is a blend from multiple growers. It has red cherry and plum fruit with a fresh streak, typical of the vintage. Underlying firm tannins will sustain it as it ages. Drink from 2018.",13%,2014
Red,US,McGregor 2012 Black Russian Red (Finger Lakes),Red Blend,60,750 ml,90,McGregor,"This robust concentrated red is made from an unusual field blend of Sereksiya Charni and Saperavi, two grape varieties more known in Eastern Europe than the United States. It's lush in black-cherry flavor, accented with chocolate, black pepper, vanilla and spice, but also densely tannic and searing in acidity. While unwieldy in its youth, it's a wine that consistently shows excellence with maturity. Hold till 2025.",13%,2012
Red,US,Mounts 2014 Old Vine Estate Grown Zinfandel (Dry Creek Valley),Zinfandel,36,750 ml,90,Mounts,"Brick red in color, this wine also smells of brick and smoke. On the palate, it's moderately structured and robustly ripe, showing burly blueberry and mocha chocolate flavors with unfettered fervor.",15.80%,2014
White,US,Eternal 2014 Patience Roussanne (Walla Walla Valley (WA)),Roussanne,40,750 ml,90,Eternal,"Walla Walla Valley-designated white wines are a rarity. This one brings aromas of apple skin and pear, showing a very clean profile that leads to dry creamy-feeling fruit flavors. It's capped off by a warm finish, speckled with barrel accents. Overall, it provides a lot of intrigue.",14.50%,2014
White,US,Falkner 2015 Chardonnay (Temecula Valley),Chardonnay,25,750 ml,90,Falkner,"This is proof that excellent Chardonnay can come from this warm region in Southern California. Key lime pie, peach blossom and shaved apple aromas show on the nose. The palate sizzles with acidity and a savory hit of sea salt, with a core of Asian pear and stone fruit flavors.",14.50%,2015
White,US,Ferrari-Carano 2015 Fum Blanc (Sonoma County),Fum Blanc,14,750 ml,90,Ferrari-Carano,"With searing, upfront acidity, this wine takes on a briny character that accents the high-toned lemon zest and melon notes on the palate. Aged only in old French oak and stainless steel, its fruit remains fresh and unencumbered through the finish.",13.80%,2015
White,US,Fleur 2014 Chardonnay (Carneros),Chardonnay,19,750 ml,90,Fleur,"This wine has a high-toned richness that presents as clean and linear. Briny olive notes define the opening aroma, while more developed pear, apple and peach flavors fill out the palate.",13.80%,2014
Red,France,Georges Vigouroux 2012 Chteau de Haute-Serre Malbec (Cahors),Malbec,24,750 ml,90,Georges Vigouroux,"Mint and smoky aromas give this wine an attractive, juicy character. It is developing well and almost ready to drink. From Cahor's high altitude vineyards, the wine is bright and fruity with damson flavors and smoothed with wood aging. Drink from 2018.",13.50%,2012
Red,France,Halos de Jupiter 2014 Red (Costires de Nmes),Rhne-style Red Blend,16,750 ml,90,Halos de Jupiter,"Somewhat unusual for the appellation, this wine doesn't include any Syrah; the blend is 80% Grenache and 20% Carignan. This medium- to full-bodied wine offers hints of Mexican chocolate, ripe black cherries and dried herbs backed by a smooth, silky, long finish. Drink now2022.",14.50%,2014
Red,US,Kale 2014 Heritage McGah Vineyard Red (Rutherford),Rhne-style Red Blend,60,750 ml,90,Kale,"This blend of 87% Grenache, 8% Mourvdre and 5% Syrah is big, bold and robustly flavored, showing its youth. Juicy cherry and licorice flavors are edged in smoke and tannin. The cinnamon-laced finish is soft and long.",15.50%,2014
White,Germany,Kirsten 2015 Wolkentanz Riesling (Mosel),Riesling,19,750 ml,90,Kirsten,"Whiffs of white flower and tangerine peel perfume this brisk, slightly peppery Riesling. It's just a shade off-dry, with barely perceivable sweetness amidst a rush of white grapefruit and lime flavors. The finish is dry and deeply refreshing.",11.30%,2015
Red,France,Lionel Osmin & Cie 2014 Donibane Tannat-Cabernet Franc (Irroulguy),Tannat-Cabernet Franc,30,750 ml,90,Lionel Osmin & Cie,"This is a blend of Cabernet Franc and Tannatboth native grapes of the French southwest. Dark in color, it also has a fine perfumed character from the Cabernet in the blend. Ripe blackberries are given weight by the dense tannins and then lifted by the acidity. It is still a young wine with a good future, so drink from 2018.",13%,2014
Dessert,France,Lionel Osmin & Cie 2015 Pacherenc du Vic Bilh,Gros and Petit Manseng,16,500 ml,90,Lionel Osmin & Cie,"The sweet wines from the southwest of the Gers region, made in small quantities, bring together two of the greatest grapes of the French southwest. The wine is in fact semisweet, with a dry undertone as well as acidity. It has hints of botrytis as well as orange marmalade, with a tangy aftertaste. Drink from 2019.",12.50%,2015
Red,France,Louis Jadot 2014 Marsannay,Pinot Noir,39,750 ml,90,Louis Jadot,"This wine from the most northerly of the Cte d'Or appellations is a blend from multiple growers. It has red cherry and plum fruit with a fresh streak, typical of the vintage. Underlying firm tannins will sustain it as it ages. Drink from 2018.",13%,2014
Red,US,McGregor 2012 Black Russian Red (Finger Lakes),Red Blend,60,750 ml,90,McGregor,"This robust concentrated red is made from an unusual field blend of Sereksiya Charni and Saperavi, two grape varieties more known in Eastern Europe than the United States. It's lush in black-cherry flavor, accented with chocolate, black pepper, vanilla and spice, but also densely tannic and searing in acidity. While unwieldy in its youth, it's a wine that consistently shows excellence with maturity. Hold till 2025.",13%,2012
Red,US,Mounts 2014 Old Vine Estate Grown Zinfandel (Dry Creek Valley),Zinfandel,36,750 ml,90,Mounts,"Brick red in color, this wine also smells of brick and smoke. On the palate, it's moderately structured and robustly ripe, showing burly blueberry and mocha chocolate flavors with unfettered fervor.",15.80%,2014
White,South Africa,Neethlingshof 2015 Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,14,750 ml,90,Neethlingshof,"Waxy apple and pressed yellow flowers mingle with accents of sweet grass, lime peel and green melon on the nose of this vibrant wine. Light in body, there's a slight prickle to the palate, with brisk acidity and great verve to the fresh citrus and gooseberry flavors. A hit of salinity graces the mouthwatering finish.",14%,2015
White,US,Noble Tree 2014 Chalk Hill Estate Chardonnay (Chalk Hill),Chardonnay,18,750 ml,90,Noble Tree,"Medium-bodied and tightly integrated in terms of oak, this wine imparts favorable anise and pear characteristics, with a lively spritz to the acidity that provides freshness.",14.10%,2014
Red,Argentina,Proemio 2015 Reserve Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,18,750 ml,90,Proemio,"Leafy woody berry and graphite aromas are on the spot for Cabernet. This feels bold and saturated, with no holes in the palate. Lightly herbal flavors of plum and blackberry are darkened by a wave of chocolate, while this tastes of mocha and chocolate on a plush but energetic finish.",14%,2015
Red,Israel,Psagot 2013 Single Vineyard Cabernet Sauvignon (Jerusalem Hills),Cabernet Sauvignon,70,750 ml,90,Psagot,"Deep red-violet to the eye, this wine features a nose of black cherry and tobacco with a hint of salinity. It opens with startling brightness on the palate that soon recedes behind grippy tannins and flavors of blackberry, cassis, smoked meats, star anise, eucalyptus and smoke. Tannins recede in turn, replaced by bright fruit and smoke that carries over into the soft finish.",14.30%,2013
Red,US,Pure Cru 2012 Signature Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,48,750 ml,90,Pure Cru,"Winemaker Mitch Cosentino blends 12% Merlot and 4% Cabernet Franc in this densely textured wine that opens slowly in the glass. Cassis, cherry and leather are bound by a solid frame that's structured to age.",14.40%,2012
Red,Portugal,Quinta de Foz de Arouce 2013 Red (Beira Atlantico),Portuguese Red,20,750 ml,90,Quinta de Foz de Arouce,"Wood aging gives this ripe blend of Baga and Touriga Nacional its richness and density. It's full of black fruit, toast and a touch of pepper. With ripe tannins and crisp acidity, it can easily age another year. Drink from 2018.",13%,2013
White,US,Sixteen by Twenty 2014 Chardonnay (Sonoma Coast),Chardonnay,40,750 ml,90,Sixteen by Twenty,"Briny green olive notes underlie a tropically ripe, full-bodied expression of the variety. The wine's apple, pineapple and mango fruit is wrapped in toasted oak and moderate acidity.",14.50%,2014
White,Italy,St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige),Pinot Bianco,40,750 ml,90,St. Pauls,"This opens with enticing aromas of chamomile flower, white peach and a whiff of Alpine herb. The elegant palate offers McIntosh apple, candied lemon and a vein of energizing mineral. Fresh acidity lends balance.",13.50%,2014
White,Italy,Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,62,750 ml,90,Terlan,"Made with 60% Pinot Bianco, 30% Chardonnay and 10% Sauvignon Blanc, this boasts appealing aromas of acacia flower, nectarine and Alpine herb. The elegant palate delivers juicy Gala apple, yellow peach and a touch of ginger alongside fresh acidity.",14.50%,2014
Red,Italy,Tiefenbrunner 2015 Turmhof Pinot Nero (Alto Adige),Pinot Nero,25,750 ml,90,Tiefenbrunner,"This 100% Pinot Nero offers intense aromas of red berries and black currants. The elegant palate delivers raspberries, green tea and a hint of cinnamon alongside silky tannins and fresh acidity. Enjoy soon.",14%,2015
White,US,Tolosa 2015 Poletti Edna Ranch Chardonnay (Edna Valley),Chardonnay,75,750 ml,90,Tolosa,"Sweetgrass, tangerine rind and lemon cream scents show on the inviting nose of this bottling. The palate is soft and broad, with rounded marzipan and lemon butter flavors. A stony sharpness keeps it taut.",14.20%,2015
White,US,White Rock Vineyards 2014 Reserve Chardonnay (Napa Valley),Chardonnay,62,750 ml,90,White Rock Vineyards,"From the oldest vines sourced by the producer, this reserve-tier wine delivers tart, briny apple and pear flavors with a high-toned squeeze of lemon. Aged in 30% new French oak, it balances richness with elegance and delicacy.",14.70%,2014
White,Italy,Andriano 2015 Finado Pinot Bianco (Alto Adige),Pinot Bianco,19,750 ml,90,Andriano,"Delicately scented, this opens with whiffs of white spring flower and orchard fruit. The crisp palate mirrors the nose, offering apple, pear and citrus, alongside bright acidity. A hint of wet stone wraps up the finish.",13.50%,2015
White,France,Domaine la Boutinire 2014 White (Chteauneuf-du-Pape),Rhne-style White Blend,39,750 ml,89,Domaine la Boutinire,"Full bodied, rich and creamy in texture, this white nevertheless finishes crisp and vibrant. White peach and melon notes are framed by delicate notes of smoke and pencil shavings. Drink now.",14%,2014
Red,Italy,Casa Belfi 2014 Rosso Red (Venezie),Red Blend,30,750 ml,89,Casa Belfi,"A blend of Cabernet Sauvignon, Cabernet Franc and Raboso grapes, this enjoyable wine opens with aromas of red berry, dried hay and cooking spice. Fermented and aged in clay amphora, the lively juicy palate delivers strawberry, red currant and a hint of baking yeast alongside supple tannins. Drink soon.",12%,2014
Red,France,Cave de Rasteau 2014 Tradition Red (Rasteau),Rhne-style Red Blend,18,750 ml,89,Cave de Rasteau,"Full-bodied, round in the mouth and silky in texture, this is a fine example of Rasteau from the local cooperative. Earth, dark fruit and leather notes mark the nose and are echoed on the palate, fading away just a little more quickly than in the Dame Victoria cuve. Drink now2020.",14%,2014
White,US,Keuka Lake Vineyards 2015 Estate Grown and Bottled Evergreen Lek Vineyard Dry Riesling (Finger Lakes),Riesling,27,750 ml,89,Keuka Lake Vineyards,"Hints of green melon rinds, tart apple and pears persist from nose to finish in this delicate dry Riesling. Bristling lime acidity awakens the midpalate, leading to a long finish dusted with pollen.",11.10%,2015
Red,US,Kirkland Signature 2014 Signature Series Red (Columbia Valley (WA)),Red Blend,17,750 ml,89,Kirkland Signature,"This blend of Cabernet Sauvignon, Merlot, Syrah and Sangiovese brings bright aromas of cranberries, red currants and cherries. The palate packs a punch of dark-fruit flavors, showing some heat on the finish.",14.80%,2014
Red,Italy,Kssler 2015 Lagrein (Alto Adige),Lagrein,24,750 ml,89,Kssler,"This 100% Lagrein opens with aromas of blackberry and exotic spice. The straightforward, juicy palate delivers black cherry and a hint of cocoa framed in smooth tannins. Enjoy soon.",13%,2015
White,France,Lionel Osmin & Cie 2015 Euskal Egun White (Irroulguy),White Blend,35,750 ml,89,Lionel Osmin & Cie,"From this small enclave in the foothills of the Basque Pyrenees, this blend of Gros Manseng, Petit Manseng and Petit Courbu is crisp, cool and perfumed. White stone fruits and a ripe tangy texture are cut with acidity and a bright, tight aftertaste. Drink from 2018.",14%,2015
White,Bulgaria,Logodaj 2015 Bijoux White (Thracian Valley),White Blend,19,750 ml,89,Logodaj,"This white blend of 50% Chardonnay, 30% Sauvignon Blanc and 20% Smillon has aromas of citrus blossom, vanilla bean and lemongrass. In the mouth it has flavors of lemon curd, lemon-lime zest and mango. The finish is clean with a savory note of dried herbs in the post palate.",12.50%,2015
Red,France,Louis Jadot 2014 Cte de Beaune-Villages,Pinot Noir,38,750 ml,89,Louis Jadot,"Coming mainly from the villages of Ladoix and Chorey-ls-Beaune, this wine is a delicious example of the juicy, ripe fruit that comes from the Cte de Beaune. It's soft and open, with a generous character that makes it ready to drink soon, from 2018.",13.50%,2014
White,France,Maison Champy 2015 Chassagne-Montrachet,Chardonnay,30,750 ml,89,Maison Champy,"This is an austere wine for the ripe vintage. Tight with concentration, it will need time to fill out. Lemon fruit and a strong mineral texture come with fine acidity. The aftertaste promises a crisp, fruity future. Drink from 2019.",13%,2015
White,Germany,Maximin Grnhuser 2015 Grosse Lage Pinot Blanc (Mosel),Pinot Blanc,24,750 ml,89,Maximin Grnhuser,"White floral and lemon zest scents perfume this zippy, light-footed Pinot Blanc. It's not a deeply concentrated wine but offers sunny yellow apple and citrus flavors, warmed by a touch of caramelized sugar. The finish is crisp and slightly mineral.",12%,2015
Red,Argentina,Proemio 2015 Reserve Malbec (Mendoza),Malbec,18,750 ml,89,Proemio,"Ripe black-plum aromas veer towards prune without fully going there. A full chewy palate holds blackberry and plum flavors, while this finishes oaky and lightly herbal. Overall, this captures much of what's good about Mendoza Malbec.",14%,2015
Rose,Portugal,Quinta Nova de Nossa Senhora do Carmo 2015 Reserva Ros (Douro),Portuguese Ros,45,750 ml,89,Quinta Nova de Nossa Senhora do Carmo,"This ros is a blend of Tinta Roriz and Tinta Francisca. Its wood aging has smoothed out the bright fruit, replacing it with a rich, creamy, warm character. With firm acidity and ripe raspberry touches, it's a full wine that is ready to drink.",14%,2015
Red,US,Renwood 2013 Zinfandel (California),Zinfandel,15,750 ml,89,Renwood,"Ripe, full-bodied and delicious, this wine is big and bold, pushing the envelope with late harvest flavors, seeming sweet on the palate and the finish. It tastes like blackberry jam and dark chocolate. It would make a fine after-dinner drink, too.",15%,2013
White,Bulgaria,Ross-idi 2014 Nikolaevo Unison Chardonnay-Gewrtztraminer White,White Blend,16,750 ml,89,Ross-idi,"This white blend is comprised of 50% Chardonnay and 50% Gewrztraminer. It has delightful aromas of white flowers, honeysuckle and lime pith and flavors of jasmine, lemongrass and dried rosemary in the mouth. The finish is clean, crisp and refreshing.",13%,2014
White,Hungary,Serpens 2015 Dry Cuve White (Tokaj),White Blend,13,750 ml,89,Serpens,"Citrus blossom and lemon pith entice your nose while flavors of apple, pear and peach please your palate. There's a hint of ripe fruit sweetness on the finish.",12%,2015
White,Hungary,St. Donat 2015 Mrga Furmint,Furmint,18,750 ml,89,St. Donat,"This wine is made from grapes grown in the Lake Balaton region and has aromas of lemon blossom, vanilla and lemon curd, which lead the way to well-combined flavors of green apple, pear and pineapple. It is medium bodied on the palate with a clean finish.",13%,2015
Red,Israel,Tabor 2012 Adama Cabernet Sauvignon (Galilee),Cabernet Sauvignon,19,750 ml,89,Tabor,"Deep ruby in the glass, this wine has a nose of blackberry, anise, and smoked meat. Smooth tannins wrap around flavors of black cherry, fennel bulb, green pepper and eucalyptus. A touch of smoke makes its presence known on the bright finish.",14.30%,2012
Red,Italy,Tassi 2012 Brunello di Montalcino,Sangiovese,60,750 ml,89,Tassi,"Forest floor, new leather, pressed violet, ripe berry, Mediterranean herb and eucalyptus aromas lead the way on this robust red. The densely concentrated palate shows raisin, vanilla, prune and espresso alongside the warmth of evident alcohol. Chewy tannins provide support while a hint of licorice wraps up the finish. Give it a few years to unwind, then drink to capture the remaining fruit richness.",15%,2012
Red,Italy,Tiefenbrunner 2014 Linticlarus Riserva Lagrein (Alto Adige),Lagrein,40,750 ml,89,Tiefenbrunner,"This 100% Lagrein opens with aromas of black-skinned berries, baking spices and licorice. The medium-bodied concentrated palate delivers black plums, mocha and clove alongside firm tannins and fresh acidity. Drink through 2019.",13.50%,2014
White,Germany,Villa Huesgen 2015 Schiefer Trocken Riesling (Mosel),Riesling,34,750 ml,89,Villa Huesgen,"Touches of smoked nut and dry clay lend earthiness to this crisp, light-footed wine. Dry in style and briskly acidic, it's invigorating refreshment with a zesty, lime pith finish. Drink now through 2021.",11.50%,2015
Red,US,Wellington 2013 Estate Vineyard Grenache (Sonoma County),Grenache,25,750 ml,89,Wellington,"Juicy and exuberantly floral, this wine is structured with a reasonable amount of tannin. Its strawberry and cherry fruit is robustly ripe, but high acidity saves the day.",15.50%,2013
Red,Argentina,Zorzal 2015 Eggo Filoso Pinot Noir (Tupungato),Pinot Noir,30,750 ml,89,Zorzal,"This almost translucent brick-colored Pinot offers aromas of lettuce leaf, orange peel and dried red fruits. It's light, edgy and fresh in feel, with flavors of salted meat and herbal plum. A tangy citric finish is primed with racy acidity. Fermented and aged in egg-shaped cement tanks.",13.60%,2015
Red,Italy,Andriano 2015 Pinot Nero (Alto Adige),Pinot Nero,28,750 ml,89,Andriano,"Made entirely with Pinot Nero, this opens with aromas of raspberry, Alpine herb and a balsamic note. The juicy palate doles out ripe strawberry, mineral and a hint of baking spice alongside supple tannins. Enjoy soon.",13.50%,2015
White,Italy,Cantina Produttori San Michele Appiano 2015 Montiggl Riesling (Alto Adige),Riesling,22,750 ml,89,Cantina Produttori San Michele Appiano,"This opens with heady aromas of jasmine, lemon zest and apricot while the lively palate offers green apple, white peach, citrus and a whiff of flint. Crisp acidity leaves a refreshing finish.",14.50%,2015
Red,Italy,Castellare 2012 Coniale Cabernet Sauvignon (Toscana),Cabernet Sauvignon,55,750 ml,89,Castellare,"Made entirely from Cabernet Sauvignon, this has aromas of black-skinned berry, leather and cedar. The dense palate delivers black currant, espresso and clove alongside bracing tannins that leave a somewhat astringent finish.",14%,2012
Red,Italy,De Stefani 2014 Plavis Merlot (Piave),Merlot,30,750 ml,89,De Stefani,"Made entirely with Merlot, this offers aromas of black-skinned fruit and baking spice. The straightforward approachable palate shows black plum, tobacco and a vanilla note framed in supple tannins. Enjoy soon.",13.50%,2014
Red,France,Domaine Guy & Yan Dufouleur 2014 Aux Saint-Julien (Nuits-St.-Georges),Pinot Noir,59,750 ml,89,Domaine Guy & Yan Dufouleur,"Now in its 14th generation, this domaine has produced a ripe wine from this single parcel. It's both structured and packed with red fruit and acidity, reflecting its vintage. Drink from 2018.",13%,2014
Red,Portugal,Dona Maria-Jlio Bastos 2013 Dona Maria Touriga Nacional (Alentejano),Touriga Nacional,22,750 ml,89,Dona Maria-Jlio Bastos,"Fermented in open top lagares, this wine shows the smooth and fruity side of Portugal's flagship grape. The tannins are present but muted by ripe black fruit and generous texture. Drink from 2018.",14.50%,2013
Red,US,Dunham 2013 Syrah (Columbia Valley (WA)),Syrah,35,750 ml,89,Dunham,"This wine's aromas display a mixture of fruit and barrel, with notes of vanilla, coconut shavings and plum. The flavors are the same, silky and elegant, with barrel flavors lingering on the finish. It's a very stylistic wine.",13.90%,2013
White,South Africa,Eikeboom 2016 Bush Vine Chenin Blanc (Western Cape),Chenin Blanc,13,750 ml,89,Eikeboom,"Soft Honeycomb cereal, toasted apple skin and pear lead the nose of this accessible wine, with pleasant hints of fresh herbs. The palate is clean and light on its feet, with vibrant acidity that kicks up the ripe apple, orange and white melon flavors. Drink this balanced beauty now.",13.50%,2016
Red,Italy,Elena Walch 2014 Ludwig Pinot Nero (Alto Adige),Pinot Nero,38,750 ml,89,Elena Walch,"This 100% Pinot Nero opens with aromas of red berries, rose petals and a whiff of vanilla. The juicy linear palate offers red currants, vanilla and a hint of beets framed in polished tannins. Enjoy soon.",13%,2014
White,Bulgaria,F2F 2015 Chardonnay (Thracian Valley),Chardonnay,16,750 ml,89,F2F,"This straw-colored Chardonnay has aromas of anise, fennel, ripe fig and vanilla that lead you to a fruit-filled palate of rich apricot and white peach. There's nice balance in the midpalate with a generous level of acidity in the finish.",13.50%,2015
Red,Argentina,Matias Riccitelli 2015 Hey Malbec! Malbec (Mendoza),Malbec,20,750 ml,89,Matias Riccitelli,"Dark berry and cassis aromas precede a focused chewy palate. Blackberry, blueberry, chocolate and spice flavors come together well, while a chunky full finish is ripe and satisfying.",14.50%,2015
White,Germany,Schloss Saarstein 2014 Pinot Blanc (Mosel),Pinot Blanc,23,750 ml,89,Schloss Saarstein,"Savory smoke and mineral tones persist throughout this light-bodied Pinot Blanc, lending a shadowy cast to its fresh lemon and lime flavors. It's refreshing, with a brisk, revitalizing finish.",12.50%,2014
